name,depth,cx,h,x,cp,swap,ccx,total_gates,success_rate,entropy,unique_states,label
qft_clean_0,7,0,3,0,3,1,0,11,17.138671875,2.961855686227009,8,0
qft_clean_1,7,0,3,0,3,1,0,11,13.3056640625,2.998712350131126,8,0
qft_clean_2,7,0,3,0,3,1,0,11,13.6474609375,2.9972125611649765,8,0
qft_clean_3,7,0,3,0,3,1,0,11,16.40625,2.960627606453562,8,0
qft_clean_4,7,0,3,0,3,1,0,11,14.0869140625,2.995165785992832,8,0
qft_clean_5,7,0,3,0,3,1,0,11,14.501953125,2.993999672291501,8,0
qft_clean_6,7,0,3,0,3,1,0,11,14.111328125,2.9970259483450663,8,0
qft_clean_7,7,0,3,0,3,1,0,11,16.11328125,2.9726662162583275,8,0
qft_clean_8,7,0,3,0,3,1,0,11,17.333984375,2.939034225064068,8,0
qft_clean_9,7,0,3,0,3,1,0,11,18.3349609375,2.944495533633952,8,0
